#E,eV        Sig,b        Interpolation
 7.56000000e+06 0.115061 Lin-Lin
 7.60000000e+06 0.115219 Lin-Lin
 8.00000000e+06 0.112193 Lin-Lin
 8.50000000e+06 0.106615 Lin-Lin
 9.00000000e+06 0.096502 Lin-Lin
 9.50000000e+06 0.086668 Lin-Lin
 1.00000000e+07 0.076585 Lin-Lin
 1.05000000e+07 0.066091 Lin-Lin
 1.10000000e+07 0.058318 Lin-Lin
 1.15000000e+07 0.050258 Lin-Lin
 1.20000000e+07 0.044108 Lin-Lin
 1.25000000e+07 0.039243 Lin-Lin
 1.30000000e+07 0.035259 Lin-Lin
 1.35000000e+07 0.031858 Lin-Lin
 1.40000000e+07 0.028968 Lin-Lin
 1.45000000e+07 0.026471 Lin-Lin
 1.50000000e+07 0.012692 Lin-Lin
 1.60000000e+07 0.010701 Lin-Lin
 1.70000000e+07 0.008841 Lin-Lin
 1.90000000e+07 0.006080 Lin-Lin
 2.00000000e+07 0.004862 Lin-Lin
 2.10000000e+07 0.004019 Lin-Lin
 2.20000000e+07 0.003311 Lin-Lin
 2.30000000e+07 0.002738 Lin-Lin
 2.40000000e+07 0.002299 Lin-Lin
 2.50000000e+07 0.001919 Lin-Lin
 2.60000000e+07 0.001590 Lin-Lin
 2.70000000e+07 0.001321 Lin-Lin
 2.80000000e+07 0.001137 Lin-Lin
 2.90000000e+07 0.000808 Lin-Lin
 3.00000000e+07 0.000681 Lin-Lin
 3.20000000e+07 0.000510 Lin-Lin
 3.40000000e+07 0.000324 Lin-Lin
 3.60000000e+07 0.000226 Lin-Lin
 3.80000000e+07 0.000166 Lin-Lin
 4.00000000e+07 0.000092 Lin-Lin
 4.20000000e+07 0.000070 Lin-Lin
 4.40000000e+07 0.000054 Lin-Lin
 4.60000000e+07 0.000043 Lin-Lin
 4.80000000e+07 0.000036 Lin-Lin
 5.00000000e+07 0.000029 Lin-Lin
 5.20000000e+07 0.000022 Lin-Lin
 5.40000000e+07 0.000015 Lin-Lin
 5.60000000e+07 0.000013 Lin-Lin
 5.80000000e+07 0.000010 Lin-Lin
 6.00000000e+07 0.000005 Lin-Lin
 6.00000000e+07 0.000000 Lin-Lin
 2.00000000e+08 0.000000 Lin-Lin
