#ZVView-data-copy:  22-Jun-2021 19:05:12
#=======================================
#
#name:   ENDF/B-VII.1: HE-3(HE3,2P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  260
#data...
#            X            Y
#          MeV        barns
         0.004            0 
         0.006   4.8542e-36 
         0.008   5.2896e-31 
          0.01   1.4104e-27 
         0.012   4.6836e-25 
         0.014   4.2135e-23 
         0.016   1.5693e-21 
         0.018   3.1181e-20 
          0.02    3.887e-19 
         0.025   5.2537e-17 
          0.03   1.9304e-15 
         0.035   3.1376e-14 
          0.04   2.9419e-13 
         0.045   1.8646e-12 
          0.05   8.8405e-12 
     0.0547723  3.17142e-11 
     0.0573266  5.86996e-11 
      0.058648  7.94127e-11 
     0.0593202  9.22395e-11 
     0.0596591  9.93759e-11 
          0.06   1.0704e-10 
     0.0604306   1.1746e-10 
     0.0608462  1.28356e-10 
      0.061243  1.39581e-10 
     0.0616259  1.51219e-10 
     0.0619912  1.63113e-10 
     0.0623434  1.75351e-10 
     0.0627964  1.92274e-10 
      0.063224  2.09551e-10 
     0.0636276  2.27092e-10 
     0.0640083  2.44805e-10 
     0.0643673  2.62607e-10 
       0.06487  2.89444e-10 
     0.0653249  3.15762e-10 
      0.065745  3.41912e-10 
     0.0662461  3.75573e-10 
     0.0667041  4.08834e-10 
     0.0671075  4.40232e-10 
     0.0676287  4.83912e-10 
     0.0679206  5.09999e-10 
     0.0684346  5.58916e-10 
     0.0689687   6.1404e-10 
     0.0693353  6.54562e-10 
     0.0697777  7.06563e-10 
     0.0702927  7.71585e-10 
     0.0708544  8.48376e-10 
      0.071394   9.2834e-10 
     0.0719037    1.0098e-9 
     0.0723848   1.09232e-9 
     0.0728388    1.1755e-9 
     0.0732669   1.25894e-9 
     0.0738668   1.38446e-9 
     0.0744096   1.50727e-9 
     0.0749112   1.62903e-9 
     0.0755292   1.79067e-9 
      0.076074   1.94454e-9 
     0.0765541   2.08944e-9 
     0.0771621   2.28632e-9 
     0.0776748   2.46456e-9 
     0.0782497    2.6786e-9 
     0.0788703   2.92752e-9 
     0.0794332   3.17023e-9 
          0.08     3.432e-9 
     0.0805911   3.72452e-9 
     0.0811492   4.02017e-9 
     0.0816759    4.3175e-9 
     0.0824068   4.76127e-9 
     0.0830832   5.20628e-9 
     0.0836954   5.63934e-9 
      0.084261    6.0666e-9 
     0.0849579    6.6309e-9 
     0.0855723    7.1652e-9 
     0.0863674   7.91091e-9 
     0.0868134   8.35746e-9 
     0.0875993   9.19702e-9 
     0.0884172   1.01462e-8 
     0.0889793   1.08459e-8 
     0.0896585   1.17459e-8 
     0.0902968   1.26489e-8 
     0.0911556   1.39563e-8 
     0.0919338   1.52385e-8 
     0.0926537   1.65125e-8 
     0.0935137    1.8152e-8 
     0.0943009   1.97718e-8 
     0.0949951   2.13003e-8 
     0.0958936   2.34261e-8 
     0.0963975   2.46952e-8 
     0.0972858   2.70738e-8 
     0.0982104   2.97525e-8 
     0.0988458   3.17204e-8 
     0.0996138   3.42441e-8 
      0.100571   3.76255e-8 
      0.101399   4.07687e-8 
      0.102198   4.40129e-8 
      0.103229   4.85139e-8 
      0.104205   5.31249e-8 
      0.105128   5.78202e-8 
      0.106001   6.25748e-8 
      0.106826   6.73647e-8 
      0.107973   7.45275e-8 
      0.109035   8.17251e-8 
      0.109999   8.87414e-8 
       0.11089   9.56742e-8 
       0.11199   1.04844e-7 
      0.112961    1.1354e-7 
      0.113818     1.217e-7 
      0.114927   1.32981e-7 
      0.116175   1.46697e-7 
      0.117476   1.62224e-7 
      0.118371   1.73682e-7 
      0.119455   1.88432e-7 
      0.120579    2.0482e-7 
       0.12171   2.22453e-7 
       0.12278   2.40267e-7 
      0.123791   2.58172e-7 
      0.125212   2.85167e-7 
      0.126502   3.11639e-7 
      0.127697   3.37933e-7 
      0.129173   3.72906e-7 
       0.13048   4.06254e-7 
      0.131633   4.37698e-7 
      0.133099   4.80477e-7 
      0.134338   5.19249e-7 
      0.135732   5.65853e-7 
      0.137241   6.20096e-7 
      0.138614   6.73021e-7 
          0.14    7.3013e-7 
      0.141727   8.06617e-7 
       0.14333   8.83295e-7 
      0.144785   9.57879e-7 
      0.146133   1.03142e-6 
      0.147798   1.12848e-6 
      0.149271    1.2203e-6 
      0.151183    1.3483e-6 
      0.152258   1.42487e-6 
      0.154157   1.56863e-6 
      0.156141   1.73089e-6 
      0.157509   1.85028e-6 
      0.159165   2.00361e-6 
      0.161182   2.20362e-6 
      0.163352   2.43602e-6 
      0.165346   2.66625e-6 
       0.16711   2.88402e-6 
      0.169402   3.18755e-6 
      0.170692   3.36907e-6 
      0.172973   3.70984e-6 
      0.175357   4.09427e-6 
      0.177001   4.37706e-6 
      0.178995   4.74009e-6 
      0.181189   5.16614e-6 
       0.18344   5.63332e-6 
      0.185433   6.07359e-6 
      0.188022   6.68485e-6 
      0.190763   7.38279e-6 
      0.193032   8.00161e-6 
      0.195492   8.71705e-6 
      0.197733   9.41048e-6 
           0.2    1.0154e-5 
      0.202397   1.09873e-5 
      0.205453   1.21241e-5 
      0.208046   1.31568e-5 
      0.210972   1.44007e-5 
      0.213194   1.54029e-5 
       0.21657   1.70255e-5 
