#ZVView-data-copy:  22-Jun-2021 19:38:43
#=======================================
#
#name:   ENDF/B-VI: HE-3(D,P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  847
#data...
#            X            Y
#          MeV        barns
     0.0011875            0 
       0.00125  2.73184e-31 
     0.0012521   2.9152e-31 
     0.0012551  3.19778e-31 
     0.0012581  3.50657e-31 
     0.0012611  3.84391e-31 
     0.0012641  4.21231e-31 
     0.0012671  4.61451e-31 
     0.0012701  5.05346e-31 
     0.0012731  5.53237e-31 
     0.0012761  6.05472e-31 
     0.0012791  6.62426e-31 
     0.0012821  7.24507e-31 
     0.0012851  7.92155e-31 
     0.0012881  8.65847e-31 
     0.0012911  9.46098e-31 
     0.0012941  1.03346e-30 
     0.0012971  1.12855e-30 
     0.0013001  1.23201e-30 
     0.0013031  1.34453e-30 
     0.0013061   1.4669e-30 
     0.0013091  1.59991e-30 
     0.0013121  1.74446e-30 
     0.0013151   1.9015e-30 
     0.0013181  2.07207e-30 
     0.0013211  2.25727e-30 
     0.0013241   2.4583e-30 
     0.0013271  2.67645e-30 
     0.0013301  2.91311e-30 
     0.0013331  3.16978e-30 
     0.0013361  3.44808e-30 
     0.0013391  3.74975e-30 
     0.0013421  4.07664e-30 
     0.0013451  4.43079e-30 
     0.0013481  4.81435e-30 
     0.0013511  5.22965e-30 
     0.0013541   5.6792e-30 
     0.0013571  6.16569e-30 
     0.0013601  6.69203e-30 
     0.0013631   7.2613e-30 
     0.0013661  7.87687e-30 
     0.0013691  8.54231e-30 
     0.0013721  9.26148e-30 
     0.0013751  1.00385e-29 
     0.0013781  1.08778e-29 
     0.0013811  1.17842e-29 
     0.0013841  1.27628e-29 
     0.0013871  1.38191e-29 
     0.0013901  1.49588e-29 
     0.0013931  1.61884e-29 
     0.0013961  1.75145e-29 
     0.0013991  1.89445e-29 
     0.0014021   2.0486e-29 
     0.0014051  2.21473e-29 
     0.0014081  2.39373e-29 
     0.0014111  2.58655e-29 
     0.0014141   2.7942e-29 
     0.0014171  3.01778e-29 
     0.0014201  3.25845e-29 
     0.0014231  3.51745e-29 
     0.0014261  3.79611e-29 
     0.0014291  4.09585e-29 
     0.0014321   4.4182e-29 
     0.0014351  4.76477e-29 
     0.0014381   5.1373e-29 
     0.0014411  5.53764e-29 
     0.0014441  5.96778e-29 
     0.0014471  6.42981e-29 
     0.0014501  6.92599e-29 
     0.0014531  7.45873e-29 
     0.0014561   8.0306e-29 
     0.0014591  8.64432e-29 
     0.0014621   9.3028e-29 
     0.0014651  1.00091e-28 
     0.0014681  1.07667e-28 
     0.0014711   1.1579e-28 
     0.0014741  1.24498e-28 
     0.0014771  1.33831e-28 
     0.0014801  1.43831e-28 
     0.0014831  1.54545e-28 
     0.0014861  1.66021e-28 
     0.0014891  1.78309e-28 
     0.0014921  1.91465e-28 
     0.0014951  2.05548e-28 
     0.0014981  2.20619e-28 
     0.0015011  2.36744e-28 
     0.0015041  2.53994e-28 
     0.0015071  2.72442e-28 
     0.0015101   2.9217e-28 
     0.0015131  3.13259e-28 
     0.0015161  3.35801e-28 
     0.0015191   3.5989e-28 
     0.0015221  3.85628e-28 
     0.0015251  4.13121e-28 
     0.0015281  4.42483e-28 
     0.0015321  4.84751e-28 
     0.0015361  5.30865e-28 
     0.0015401  5.81159e-28 
     0.0015441  6.35991e-28 
     0.0015481  6.95751e-28 
     0.0015521  7.60859e-28 
     0.0015561  8.31771e-28 
     0.0015601  9.08976e-28 
     0.0015641  9.93006e-28 
     0.0015681  1.08443e-27 
     0.0015721  1.18387e-27 
     0.0015761    1.292e-27 
     0.0015801  1.40953e-27 
     0.0015841  1.53724e-27 
     0.0015881  1.67596e-27 
     0.0015921   1.8266e-27 
     0.0015961  1.99013e-27 
     0.0016001   2.1676e-27 
     0.0016041  2.36013e-27 
     0.0016081  2.56894e-27 
     0.0016121  2.79533e-27 
     0.0016161   3.0407e-27 
     0.0016201  3.30658e-27 
     0.0016241  3.59458e-27 
     0.0016281  3.90645e-27 
     0.0016321  4.24406e-27 
     0.0016361  4.60944e-27 
     0.0016401  5.00474e-27 
     0.0016441   5.4323e-27 
     0.0016481   5.8946e-27 
     0.0016521  6.39434e-27 
     0.0016561  6.93437e-27 
     0.0016601  7.51778e-27 
     0.0016641  8.14788e-27 
     0.0016681  8.82821e-27 
     0.0016721  9.56257e-27 
     0.0016761   1.0355e-26 
     0.0016801  1.12099e-26 
     0.0016841  1.21319e-26 
     0.0016881   1.3126e-26 
     0.0016921  1.41976e-26 
     0.0016961  1.53523e-26 
     0.0017001  1.65963e-26 
     0.0017041  1.79362e-26 
     0.0017081  1.93789e-26 
     0.0017121  2.09319e-26 
     0.0017161  2.26032e-26 
     0.0017201  2.44013e-26 
     0.0017241  2.63354e-26 
     0.0017281  2.84152e-26 
     0.0017321  3.06511e-26 
     0.0017361  3.30541e-26 
     0.0017401  3.56362e-26 
     0.0017441    3.841e-26 
     0.0017481  4.13888e-26 
     0.0017531  4.54228e-26 
     0.0017581  4.98301e-26 
     0.0017631  5.46431e-26 
     0.0017681  5.98974e-26 
     0.0017731  6.56312e-26 
     0.0017781  7.18858e-26 
     0.0017831  7.87059e-26 
     0.0017881  8.61401e-26 
     0.0017931  9.42404e-26 
     0.0017981  1.03063e-25 
     0.0018031   1.1267e-25 
     0.0018081  1.23126e-25 
     0.0018131  1.34502e-25 
     0.0018181  1.46876e-25 
     0.0018231  1.60329e-25 
     0.0018281   1.7495e-25 
     0.0018331  1.90836e-25 
     0.0018381  2.08091e-25 
     0.0018431  2.26824e-25 
     0.0018481  2.47156e-25 
     0.0018531  2.69217e-25 
     0.0018581  2.93144e-25 
     0.0018631  3.19087e-25 
     0.0018681  3.47206e-25 
     0.0018731  3.77675e-25 
     0.0018781  4.10677e-25 
     0.0018831  4.46413e-25 
     0.0018881  4.85096e-25 
     0.0018931  5.26955e-25 
     0.0018981  5.72237e-25 
     0.0019031  6.21206e-25 
     0.0019081  6.74145e-25 
     0.0019131  7.31359e-25 
     0.0019181  7.93173e-25 
     0.0019231  8.59937e-25 
     0.0019281  9.32023e-25 
     0.0019331  1.00983e-24 
     0.0019381  1.09379e-24 
     0.0019431  1.18437e-24 
     0.0019481  1.28205e-24 
     0.0019531  1.38735e-24 
     0.0019581  1.50085e-24 
     0.0019631  1.62314e-24 
     0.0019681  1.75486e-24 
     0.0019731  1.89671e-24 
     0.0019781  2.04941e-24 
     0.0019831  2.21375e-24 
     0.0019881  2.39056e-24 
     0.0019931  2.58073e-24 
     0.0019991  2.82794e-24 
     0.0020051  3.09753e-24 
     0.0020111  3.39143e-24 
     0.0020171   3.7117e-24 
     0.0020231  4.06056e-24 
     0.0020291  4.44042e-24 
     0.0020351  4.85387e-24 
     0.0020411  5.30371e-24 
     0.0020471  5.79296e-24 
     0.0020531  6.32486e-24 
     0.0020591  6.90292e-24 
     0.0020651  7.53091e-24 
     0.0020711  8.21289e-24 
     0.0020771  8.95322e-24 
     0.0020831   9.7566e-24 
     0.0020891   1.0628e-23 
     0.0020951  1.15731e-23 
     0.0021011  1.25975e-23 
     0.0021071  1.37075e-23 
     0.0021131    1.491e-23 
     0.0021191  1.62121e-23 
     0.0021251  1.76215e-23 
     0.0021311  1.91467e-23 
     0.0021371  2.07965e-23 
     0.0021431  2.25805e-23 
     0.0021491  2.45091e-23 
     0.0021551  2.65931e-23 
     0.0021611  2.88444e-23 
     0.0021671  3.12756e-23 
     0.0021731  3.39003e-23 
     0.0021791  3.67328e-23 
     0.0021851  3.97887e-23 
     0.0021911  4.30845e-23 
     0.0021981  4.72565e-23 
     0.0022051  5.18095e-23 
     0.0022121  5.67759e-23 
     0.0022191  6.21912e-23 
     0.0022261  6.80934e-23 
     0.0022331  7.45235e-23 
     0.0022401   8.1526e-23 
     0.0022471  8.91485e-23 
     0.0022541  9.74427e-23 
     0.0022611  1.06464e-22 
     0.0022681  1.16272e-22 
     0.0022751  1.26931e-22 
     0.0022821  1.38512e-22 
     0.0022891  1.51087e-22 
     0.0022961  1.64738e-22 
     0.0023031   1.7955e-22 
     0.0023101  1.95617e-22 
     0.0023171  2.13038e-22 
     0.0023241   2.3192e-22 
     0.0023311  2.52377e-22 
     0.0023381  2.74534e-22 
     0.0023451  2.98522e-22 
     0.0023521  3.24482e-22 
     0.0023591  3.52568e-22 
     0.0023661  3.82942e-22 
     0.0023731  4.15779e-22 
     0.0023801  4.51266e-22 
     0.0023871  4.89603e-22 
     0.0023941  5.31005e-22 
     0.0024011    5.757e-22 
     0.0024091   6.3113e-22 
     0.0024171  6.91577e-22 
     0.0024251  7.57466e-22 
     0.0024331  8.29255e-22 
     0.0024411  9.07439e-22 
     0.0024491  9.92551e-22 
     0.0024571  1.08516e-21 
     0.0024651  1.18589e-21 
     0.0024731  1.29541e-21 
     0.0024811  1.41443e-21 
     0.0024891  1.54373e-21 
     0.0024971  1.68412e-21 
     0.0025051  1.83651e-21 
     0.0025131  2.00184e-21 
     0.0025211  2.18116e-21 
     0.0025291  2.37556e-21 
     0.0025371  2.58622e-21 
     0.0025451  2.81443e-21 
     0.0025531  3.06153e-21 
     0.0025611  3.32901e-21 
     0.0025691  3.61842e-21 
     0.0025771  3.93144e-21 
     0.0025851  4.26987e-21 
     0.0025941  4.68339e-21 
     0.0026031  5.13446e-21 
     0.0026121  5.62627e-21 
     0.0026211  6.16224e-21 
     0.0026301  6.74607e-21 
     0.0026391  7.38176e-21 
     0.0026481  8.07359e-21 
     0.0026571  8.82618e-21 
     0.0026661  9.64453e-21 
     0.0026751  1.05339e-20 
     0.0026841  1.15002e-20 
     0.0026931  1.25495e-20 
     0.0027021  1.36886e-20 
     0.0027111  1.49244e-20 
     0.0027201  1.62648e-20 
     0.0027291  1.77179e-20 
     0.0027381  1.92926e-20 
     0.0027471  2.09983e-20 
     0.0027561  2.28452e-20 
     0.0027651  2.48442e-20 
     0.0027741   2.7007e-20 
     0.0027831  2.93459e-20 
     0.0027931  3.21677e-20 
     0.0028031  3.52433e-20 
     0.0028131  3.85939e-20 
     0.0028231  4.22424e-20 
     0.0028331  4.62134e-20 
     0.0028431  5.05334e-20 
     0.0028531  5.52309e-20 
     0.0028631  6.03365e-20 
     0.0028731  6.58833e-20 
     0.0028831  7.19067e-20 
     0.0028931  7.84447e-20 
     0.0029031  8.55381e-20 
     0.0029131  9.32308e-20 
     0.0029231  1.01569e-19 
     0.0029331  1.10605e-19 
     0.0029431  1.20392e-19 
     0.0029531  1.30987e-19 
     0.0029641   1.4365e-19 
     0.0029751  1.57455e-19 
     0.0029861  1.72499e-19 
     0.0029971  1.88883e-19 
     0.0030081   2.0672e-19 
     0.0030191  2.26127e-19 
     0.0030301  2.47234e-19 
     0.0030411  2.70179e-19 
     0.0030521  2.95109e-19 
     0.0030631  3.22184e-19 
     0.0030741  3.51575e-19 
     0.0030851  3.83466e-19 
     0.0030961  4.18053e-19 
     0.0031071  4.55548e-19 
     0.0031181  4.96177e-19 
     0.0031291  5.40183e-19 
     0.0031411  5.92346e-19 
     0.0031531    6.492e-19 
     0.0031651  7.11134e-19 
     0.0031771  7.78569e-19 
     0.0031891  8.51956e-19 
     0.0032011  9.31782e-19 
     0.0032131  1.01856e-18 
     0.0032251  1.11287e-18 
     0.0032371  1.21531e-18 
     0.0032491  1.32651e-18 
     0.0032611  1.44718e-18 
     0.0032731  1.57806e-18 
     0.0032851  1.71995e-18 
     0.0032971  1.87371e-18 
     0.0033101  2.05472e-18 
     0.0033231  2.25199e-18 
     0.0033361  2.46686e-18 
     0.0033491  2.70077e-18 
     0.0033621  2.95529e-18 
     0.0033751  3.23208e-18 
     0.0033881  3.53295e-18 
     0.0034011  3.85983e-18 
     0.0034141  4.21479e-18 
     0.0034271  4.60005e-18 
     0.0034401    5.018e-18 
     0.0034531   5.4712e-18 
     0.0034671  6.00182e-18 
     0.0034811  6.58018e-18 
     0.0034951  7.21022e-18 
     0.0035091  7.89619e-18 
     0.0035231  8.64268e-18 
     0.0035371  9.45458e-18 
     0.0035511  1.03371e-17 
     0.0035651  1.12961e-17 
     0.0035791  1.23375e-17 
     0.0035931  1.34678e-17 
     0.0036071  1.46942e-17 
     0.0036211  1.60239e-17 
     0.0036361  1.75725e-17 
     0.0036511  1.92597e-17 
     0.0036661  2.10968e-17 
     0.0036811   2.3096e-17 
     0.0036961  2.52706e-17 
     0.0037111  2.76346e-17 
     0.0037261  3.02031e-17 
     0.0037411  3.29925e-17 
     0.0037561  3.60201e-17 
     0.0037711  3.93046e-17 
     0.0037871  4.31139e-17 
     0.0038031  4.72643e-17 
     0.0038191  5.17838e-17 
     0.0038351  5.67026e-17 
     0.0038511  6.20529e-17 
     0.0038671  6.78694e-17 
     0.0038831  7.41894e-17 
     0.0038991  8.10528e-17 
     0.0039151  8.85024e-17 
     0.0039321  9.71111e-17 
     0.0039491  1.06492e-16 
     0.0039661  1.16709e-16 
     0.0039831   1.2783e-16 
     0.0040001  1.39928e-16 
     0.0040171  1.53082e-16 
     0.0040341  1.67376e-16 
     0.0040511    1.829e-16 
     0.0040681  1.99751e-16 
     0.0040861  2.19155e-16 
     0.0041041  2.40295e-16 
     0.0041221  2.63312e-16 
     0.0041401  2.88359e-16 
     0.0041581    3.156e-16 
     0.0041761  3.45208e-16 
     0.0041941  3.77373e-16 
     0.0042121  4.12296e-16 
     0.0042311  4.52389e-16 
     0.0042501  4.96066e-16 
     0.0042691   5.4362e-16 
     0.0042881  5.95365e-16 
     0.0043071  6.51636e-16 
     0.0043261  7.12793e-16 
     0.0043451  7.79225e-16 
     0.0043641  8.51343e-16 
     0.0043841  9.33889e-16 
     0.0044041  1.02378e-15 
     0.0044241  1.12161e-15 
     0.0044441  1.22803e-15 
     0.0044641   1.3437e-15 
     0.0044841  1.46938e-15 
     0.0045041  1.60583e-15 
     0.0045251  1.76163e-15 
     0.0045461  1.93128e-15 
     0.0045671  2.11591e-15 
     0.0045881  2.31671e-15 
     0.0046091  2.53496e-15 
     0.0046301  2.77205e-15 
     0.0046521  3.04224e-15 
     0.0046741  3.33653e-15 
     0.0046961  3.65687e-15 
     0.0047181  4.00535e-15 
     0.0047401  4.38422e-15 
     0.0047621  4.79586e-15 
     0.0047851  5.26405e-15 
     0.0048081  5.77402e-15 
     0.0048311  6.32913e-15 
     0.0048541  6.93301e-15 
     0.0048771  7.58952e-15 
     0.0049001  8.30281e-15 
     0.0049241  9.11246e-15 
     0.0049481  9.99416e-15 
     0.0049721  1.09537e-14 
     0.0049961  1.19973e-14 
     0.0050201  1.31316e-14 
     0.0050441  1.43637e-14 
     0.0050691  1.57594e-14 
     0.0050941  1.72787e-14 
     0.0051191  1.89315e-14 
     0.0051441  2.07282e-14 
     0.0051691  2.26804e-14 
     0.0051951  2.48883e-14 
     0.0052211   2.7292e-14 
     0.0052471  2.99068e-14 
     0.0052731  3.27496e-14 
     0.0052991  3.58383e-14 
     0.0053261  3.93264e-14 
     0.0053531  4.31231e-14 
     0.0053801   4.7253e-14 
     0.0054071  5.17422e-14 
     0.0054351  5.68073e-14 
     0.0054631  6.23227e-14 
     0.0054911  6.83242e-14 
     0.0055191  7.48502e-14 
     0.0055471  8.19418e-14 
     0.0055761  8.99299e-14 
     0.0056051  9.86241e-14 
     0.0056341   1.0808e-13 
     0.0056631  1.18358e-13 
     0.0056931  1.29923e-13 
     0.0057231  1.42512e-13 
     0.0057531  1.56205e-13 
     0.0057831   1.7109e-13 
     0.0058141   1.8782e-13 
     0.0058451  2.06031e-13 
     0.0058761  2.25838e-13 
     0.0059071  2.47367e-13 
     0.0059391  2.71539e-13 
     0.0059711  2.97844e-13 
     0.0060031  3.26452e-13 
     0.0060351  3.57541e-13 
     0.0060681  3.92405e-13 
     0.0061011  4.30336e-13 
     0.0061341  4.71575e-13 
     0.0061681  5.17795e-13 
     0.0062021    5.681e-13 
     0.0062361   6.2281e-13 
     0.0062701  6.82267e-13 
     0.0063051  7.48819e-13 
     0.0063401  8.21217e-13 
     0.0063751  8.99916e-13 
     0.0064111   9.8795e-13 
     0.0064471  1.08373e-12 
     0.0064831  1.18786e-12 
     0.0065201  1.30427e-12 
     0.0065571  1.43092e-12 
     0.0065941  1.56863e-12 
     0.0066321  1.72245e-12 
     0.0066701  1.88982e-12 
     0.0067081  2.07178e-12 
     0.0067471  2.27489e-12 
     0.0067861  2.49586e-12 
     0.0068251  2.73606e-12 
     0.0068651  3.00396e-12 
     0.0069051  3.29536e-12 
     0.0069461  3.62034e-12 
     0.0069871    3.974e-12 
     0.0070281  4.35857e-12 
     0.0070701  4.78707e-12 
     0.0071121  5.25323e-12 
     0.0071541  5.75997e-12 
     0.0071971  6.32406e-12 
     0.0072401  6.93748e-12 
     0.0072841  7.62019e-12 
     0.0073281  8.36287e-12 
     0.0073721  9.17012e-12 
     0.0074171  1.00676e-11 
     0.0074621  1.10434e-11 
     0.0075081  1.21281e-11 
     0.0075541  1.33077e-11 
     0.0076011  1.46184e-11 
     0.0076481  1.60441e-11 
     0.0076961  1.76278e-11 
     0.0077441  1.93506e-11 
     0.0077931  2.12636e-11 
     0.0078421  2.33447e-11 
     0.0078921  2.56549e-11 
     0.0079421  2.81679e-11 
     0.0079931  3.09563e-11 
     0.0080441  3.39896e-11 
     0.0080961  3.73538e-11 
     0.0081481   4.1013e-11 
     0.0082011  4.50695e-11 
     0.0082541  4.94811e-11 
     0.0083081  5.43693e-11 
     0.0083621  5.96846e-11 
     0.0084171  6.55708e-11 
     0.0084721    7.197e-11 
     0.0085281  7.90527e-11 
     0.0085851  8.68942e-11 
     0.0086421   9.5422e-11 
     0.0087001  1.04857e-10 
     0.0087581  1.15115e-10 
     0.0088171  1.26458e-10 
     0.0088771  1.39003e-10 
     0.0089371  1.52643e-10 
     0.0089981  1.67719e-10 
     0.0090601  1.84384e-10 
     0.0091221  2.02505e-10 
     0.0091851  2.22521e-10 
     0.0092491  2.44635e-10 
     0.0093131  2.68677e-10 
     0.0093781  2.95217e-10 
