#E,eV        Sig,b        Interpolation
 8.62270000e+05 0.000000 Lin-Lin
 3.50000000e+06 0.000006 Lin-Lin
 4.00000000e+06 0.000038 Lin-Lin
 4.50000000e+06 0.000181 Lin-Lin
 5.00000000e+06 0.000622 Lin-Lin
 5.20000000e+06 0.000950 Lin-Lin
 5.40000000e+06 0.001400 Lin-Lin
 5.60000000e+06 0.002010 Lin-Lin
 5.80000000e+06 0.002782 Lin-Lin
 6.00000000e+06 0.003751 Lin-Lin
 6.50000000e+06 0.007001 Lin-Lin
 7.00000000e+06 0.011064 Lin-Lin
 7.50000000e+06 0.015392 Lin-Lin
 8.00000000e+06 0.019797 Lin-Lin
 8.50000000e+06 0.023974 Lin-Lin
 9.50000000e+06 0.031765 Lin-Lin
 1.00000000e+07 0.034539 Lin-Lin
 1.05000000e+07 0.037617 Lin-Lin
 1.10000000e+07 0.039889 Lin-Lin
 1.15000000e+07 0.041468 Lin-Lin
 1.20000000e+07 0.042606 Lin-Lin
 1.25000000e+07 0.043500 Lin-Lin
 1.30000000e+07 0.044122 Lin-Lin
 1.35000000e+07 0.044419 Lin-Lin
 1.40000000e+07 0.044301 Lin-Lin
 1.45000000e+07 0.044026 Lin-Lin
 1.50000000e+07 0.042988 Lin-Lin
 1.55000000e+07 0.041547 Lin-Lin
 1.60000000e+07 0.039035 Lin-Lin
 1.65000000e+07 0.035909 Lin-Lin
 1.70000000e+07 0.032634 Lin-Lin
 1.75000000e+07 0.028804 Lin-Lin
 1.80000000e+07 0.025389 Lin-Lin
 1.90000000e+07 0.018916 Lin-Lin
 1.95000000e+07 0.016064 Lin-Lin
 2.00000000e+07 0.013906 Lin-Lin
 2.00000100e+07 0.000000 Lin-Lin
 1.50000000e+08 0.000000 Lin-Lin
